short_ma,short_ma_length,long_ma,long_ma_length,rsi_length,rsi_threshold,total_final_balance
sma,55,sma,75,3,20,28683183.507360235
sma,75,sma,240,3,40,28674834.398604043
sma,75,sma,240,3,45,28630713.177940026
sma,95,sma,240,7,45,28615633.92693615
sma,105,sma,240,14,45,28591570.453131143
sma,90,sma,240,3,45,28572269.20127329
sma,75,sma,240,3,30,28531014.698509254
sma,55,sma,75,3,15,28445240.538678184
sma,50,sma,240,3,10,28444009.529181533
ema,35,sma,40,3,35,28410738.932815026
sma,50,sma,240,3,25,28327294.46973118
sma,50,sma,240,3,15,28325114.62484959
sma,50,sma,240,3,20,28324685.48752885
sma,50,sma,240,3,30,28246326.349417306
sma,85,sma,240,14,10,28239515.917226236
sma,85,sma,240,7,10,28236638.67230316
sma,60,sma,70,7,15,28234453.33636789
sma,85,sma,240,7,15,28229189.02843292
sma,105,sma,240,7,15,27991687.774142157
sma,90,sma,240,7,15,27944645.427657645
sma,90,sma,240,7,20,27912388.980264958
sma,15,ema,25,3,30,27895390.79736671
sma,55,sma,75,3,40,27837255.289211914
sma,55,sma,75,3,35,27816621.39913692
ema,25,sma,45,14,45,27538652.24351139
sma,75,sma,240,7,45,27489605.089230374
sma,100,sma,240,14,25,27472209.316466063
sma,100,sma,240,7,40,27458012.68623646
sma,75,sma,240,3,25,27457907.92166632
sma,100,sma,240,14,20,27421262.47716387
sma,100,sma,240,14,15,27411179.369155265
sma,100,sma,240,7,10,27408025.281618726
sma,100,sma,240,14,10,27402356.938063055
ema,30,sma,45,7,45,27370572.386862412
sma,100,sma,240,7,15,27348922.56035929
sma,55,sma,240,14,40,27219068.250001397
sma,60,sma,70,14,20,27083923.940359883
ema,25,sma,45,7,15,27080521.669459112
sma,60,sma,70,14,10,27076151.09026277
sma,60,sma,70,14,15,27074355.934581283
ema,25,sma,45,7,10,27032152.14956574
sma,20,ema,30,7,15,27023803.901944418
ema,25,sma,45,7,20,27018418.951431144
sma,75,sma,240,14,45,26993825.929927837
ema,85,sma,240,3,40,26830847.414212883
ema,85,sma,240,3,45,26756757.619734164
ema,35,sma,40,3,10,26732930.69976536
ema,85,ema,105,3,40,26644227.37234353
ema,85,ema,105,3,45,26640204.845936522
sma,70,sma,240,14,40,26620596.05460322
ema,90,ema,105,7,45,26612343.928025126
ema,35,sma,40,3,45,26607955.974204186
sma,20,ema,30,14,40,26427758.664316352
sma,60,sma,70,7,10,26321068.123469226
sma,55,sma,65,7,35,26283610.17475045
sma,55,sma,75,3,30,26231613.726843257
sma,100,sma,240,14,45,26195250.85857247
sma,95,sma,240,7,40,26124637.933019977
sma,95,sma,240,3,30,26111542.460884128
sma,60,sma,70,14,25,26095946.69408993
ema,30,sma,45,7,40,26024482.79372632
sma,95,sma,240,3,35,26003181.179312993
sma,55,sma,65,14,25,25997432.1985904
sma,60,sma,70,14,30,25984346.794005312
ema,90,ema,100,3,40,25980088.302648198
ema,90,ema,100,3,45,25978419.051854677
ema,50,sma,55,3,15,25901163.91345901
sma,60,sma,70,3,25,25880956.96501148
ema,25,sma,45,7,35,25805626.274571575
ema,25,sma,45,14,40,25672913.063245
ema,25,sma,45,14,25,25665102.555768117
ema,25,sma,45,14,20,25665059.26716694
ema,25,sma,45,14,30,25664356.347710263
sma,55,sma,65,14,20,25645829.1988028
ema,25,sma,45,14,35,25625372.918658227
ema,35,sma,40,7,25,25522474.41258237
ema,35,sma,40,7,30,25493198.59692047
ema,50,sma,240,14,45,25433739.000502024
ema,25,sma,45,14,15,25369235.00868684
ema,25,sma,45,14,10,25369235.00868684
ema,85,sma,240,14,30,25340161.88952333
ema,80,sma,240,3,40,25334300.342354305
sma,55,sma,65,7,25,25328047.696248505
sma,60,sma,70,7,45,25218333.55567424
ema,80,sma,240,3,45,25200061.512407422
sma,65,sma,240,7,10,25124289.63629551
ema,35,sma,240,3,45,25118285.196533166
sma,60,sma,70,3,20,25056517.137188718
sma,65,sma,240,14,15,25039678.456559032
sma,65,sma,240,14,20,25039538.86801984
sma,65,sma,240,14,10,25039415.72109823
sma,65,sma,240,14,25,24986463.52693694
ema,35,sma,40,3,30,24969131.77937542
ema,35,sma,40,14,30,24967333.52032994
sma,70,sma,240,7,30,24877596.747992557
sma,70,sma,240,7,25,24852667.932521164
sma,55,sma,75,7,25,24715377.575935382
sma,70,sma,240,14,15,24713227.833122395
sma,70,sma,240,7,15,24709873.004692428
sma,70,sma,240,7,20,24709406.15061044
sma,70,sma,240,14,10,24707163.071671203
sma,70,sma,240,7,10,24693865.257786475
ema,50,sma,240,14,40,24691422.992951453
sma,60,sma,240,7,35,24640618.397809695
ema,35,sma,40,7,20,24606477.182606306
ema,25,sma,45,7,30,24597713.453289285
ema,25,sma,45,7,25,24593713.1441747
sma,55,sma,65,14,15,24584067.42778217
sma,55,sma,65,14,10,24574796.9742157
sma,55,sma,80,3,25,24501200.014458016
sma,55,sma,65,14,30,24494728.577104602
sma,65,ema,240,14,35,24460106.048666857
sma,95,sma,240,14,30,24446384.297997076
ema,95,ema,100,7,45,24399654.852798257
sma,55,sma,65,7,30,24371702.131758753
sma,95,sma,240,14,35,24356625.196599796
sma,105,sma,240,14,40,24355352.17083771
sma,55,sma,240,14,30,24307879.484411705
sma,65,ema,110,7,40,24221417.59699583
ema,90,ema,100,3,20,24192647.70682172
ema,90,ema,100,3,30,24181765.040229082
sma,65,sma,240,7,30,24169317.62567221
ema,90,ema,100,3,25,24159013.392753553
sma,20,ema,30,14,30,24137790.913585816
sma,55,sma,240,14,35,24132919.58090942
ema,20,sma,45,3,35,24077686.77344039
sma,65,sma,240,7,35,24066478.468331676
ema,35,sma,40,7,15,24047654.26537821
ema,90,ema,100,3,35,24044694.240971535
ema,75,ema,120,3,40,24037119.48859169
sma,90,sma,240,7,25,24031629.043258477
ema,85,sma,240,3,30,24023026.7581778
sma,65,sma,240,7,40,24021207.38951431
ema,85,ema,105,3,20,23978890.598046843
ema,85,ema,105,3,30,23971577.626066983
ema,30,sma,45,7,35,23964506.100215267
ema,85,ema,105,3,25,23945790.93740878
